business_name,category,city,address,phone,source
Museum of Fine Arts,"Art museum, Museum",Budapest,"Budapest, Museum of Fine Arts, Dózsa György út 41, 1146 Hungary",3614697100,Google Places
Museum De Lakenhal,"Art museum, Museum, Tourist attraction",Leiden,"Museum De Lakenhal, Oude Singel 32, 2312 RA Leiden, Netherlands",31715165360,Google Places
Tower of David,"History museum, Tourist attraction",Jerusalem,"Tower of David, Jerusalem",97226265333,Google Places
The John and Mable Ringling Museum of Art,"Art museum, Garden, Historical place museum, History museum, Performing arts theater, Tourist attraction",Sarasota,"The John and Mable Ringling Museum of Art, 5401 Bay Shore Rd, Sarasota, FL 34243",19413595700,Google Places
Smithsonian's National Postal Museum,"Museum, Historical landmark, History museum, National museum, Tourist attraction",Washington,"Smithsonian's National Postal Museum, 2 Massachusetts Ave NE, Washington, DC 20002",12026335555,Google Places
Museum London,"Museum, Art museum, History museum, Tourist attraction",London,"Museum London, 421 Ridout St N, London, ON N6A 5H4, Canada",15196610333,Google Places
Hirshhorn Museum,"Art museum, Modern art museum, Museum, Sculpture museum, Tourist attraction",Washington,"Hirshhorn Museum, Independence Ave SW &, 7th St SW, Washington, DC 20560",12026331000,Google Places
National Museum of Art,"Art museum, Tourist attraction",Bucharest,"National Museum of Art, Calea Victoriei 49-53, București 010063, Romania",40213133030,Google Places
The Morgan Library & Museum,"Museum, Art museum, Library, Tourist attraction",New York,"The Morgan Library & Museum, 225 Madison Ave, New York, NY 10016",12126850008,Google Places
Sandy Museum,"Museum, Tourist attraction",Sandy,"Sandy Museum, 8744 S Center St, Sandy, UT 84070",18015660878,Google Places
Museum of Anthropology at UBC,"Heritage museum, Art museum, Museum, Tourist attraction",Vancouver,"Museum of Anthropology at UBC, 6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",16048275932,Google Places
Dubai police Museum - متحف شرطة دبي,Museum,Dubai,79H4+H4J Dubai police Museum - متحف شرطة دبي - Al Twar - Al Twar 1 - Dubai - United Arab Emirates,97146999832,Google Places
Sharjah Maritime Museum,"Archaeological museum, Maritime museum, Museum, Tourist attraction",Sharjah,"Sharjah Maritime Museum, https://maps.app.goo.gl/j1B7UFX77fnjnnXX9 - Al Khan - Sharjah - United Arab Emirates",97165222002,Google Places
Museum Of Illusions,"Museum, Tourist attraction",Dubai,7873+RP9 Museum Of Illusions - Al Seef - Dubai Creek - Dubai - Al Seef St - Al Hamriya - Dubai - United Arab Emirates,97143573999,Google Places
Sharjah Heritage Museum,"Heritage museum, Tourist attraction",Sharjah,994M+XPX Sharjah Heritage Museum - Al Shiokh - Sharjah - United Arab Emirates,97165680006,Google Places
Sharjah Art Museum,"Art museum, Museum, Tourist attraction",Sharjah,"Sharjah Art Museum, متحف الشارقة للفنون - Al Shuwaiheen - Sharjah - United Arab Emirates",97165688222,Google Places
Omni Tech Insight,Technology museum,Sharjah,Omni Tech Insight - Al Nahda - Al Nahda 1 - Sharjah - United Arab Emirates,971544540910,Google Places
Private Classic Car Collection,Museum,Dubai,"Private Classic Car Collection, Al Serkal Building - Nasser Bin Abdul Latif - Al Maktoum Rd - Dubai - United Arab Emirates",97142955000,Google Places
Sharjah Science Museum,"Museum, Tourist attraction",Sharjah,Sharjah Science Museum - Al Abar - Halwan Suburb - Sharjah - United Arab Emirates,97165668777,Google Places
Fossile Rocks,Museum,Sharjah,"89PM+383 Fossile Rocks, Al noor island - Al Majaz 1 - Al Majaz - Sharjah - United Arab Emirates",Unknown,Google Places
Sharjah Museum of Islamic Civilization,"History museum, Museum, Tourist attraction",Sharjah,Sharjah Museum of Islamic Civilization - Al Majarra - Al Sharq - Sharjah - United Arab Emirates,97165655455,Google Places
Sharjah Archaeology Museum,"Museum, Tourist attraction",Sharjah,8CXF+5F4 Sharjah Archaeology Museum - Sheikh Rashid Bin Saqr Al Qasimi St - Al Abar - Halwan Suburb - Sharjah - United Arab Emirates,97165665466,Google Places
Museum of Emirati Art ( House Of Creativity),"Art museum, Art gallery, Artist",Dubai,Museum of Emirati Art ( House Of Creativity) - 41 22B St - Abu Hail - Dubai - United Arab Emirates,971503255741,Google Places
Crossroad of Civilizations Museum (CCM) متحف معبر الحضارات‎,History museum,Dubai,Crossroad of Civilizations Museum (CCM) متحف معبر الحضارات‎ - Al Khaleej Road Sheikh Hasher AlMaktoum House - Dubai - United Arab Emirates,97143934440,Google Places
Dubai Old City,Heritage museum,Dubai,7874+GCV Dubai Old City - Al Hamriya - Dubai - United Arab Emirates,Unknown,Google Places
Bastakiya,"Museum, Art center",Dubai,Bastakiya - Al Fahidi - Dubai - United Arab Emirates,Unknown,Google Places
Etihad Museum,"Museum, Tourist attraction",Dubai,Etihad Museum - 1 Jumeirah St - Al Mina - Jumeirah 1 - Dubai - United Arab Emirates,97180033222,Google Places
مركز الوثائق التاريخية,Museum,Dubai,مركز الوثائق التاريخية - Al Fahidi - Dubai - United Arab Emirates,97143598077,Google Places
Dubai tour,Museum,Dubai,79R8+Q6J Dubai tour - Al Nahda - Al Nahda 1 - Dubai - United Arab Emirates,Unknown,Google Places
Bait Al Banat Women's Museum,"Museum, Tourist attraction",Dubai,"Bait Al Banat Women's Museum - Al Sabkha, Gold Souq, Near - Al Khor Street - Deira - Dubai - United Arab Emirates",97142342342,Google Places
Dubai Municipality Museum,"Museum, Tourist attraction",Dubai,779X+544 Dubai Municipality Museum - Old Baladiya St - Deira - Al Sabkha - Dubai - United Arab Emirates,97142253312,Google Places
Sharjah Fort (Al Hisn),"Museum, Tourist attraction",Sharjah,Sharjah Fort (Al Hisn) - Al Shuwaiheen - Sharjah - United Arab Emirates,97165685500,Google Places
Emerging City - Al Shindgha Museum,Museum,Dubai,779R+F62 Emerging City - Al Shindgha Museum - Dubai - United Arab Emirates,Unknown,Google Places
Al Shindagha Museum Drop-Off point A,Museum,Dubai,"Al Shindagha Museum Drop-Off point A, 152 - Al Fahidi - Dubai - United Arab Emirates",Unknown,Google Places
Coffee Museum,"Museum, Antique store, Coffee roasters, Coffee shop, Coffee store, Souvenir store, Tourist attraction",Dubai,"Coffee Museum, Historical Neighborhood, Bastakiya, Villa 44 - Al Hisn St - Al Fahidi - Dubai - United Arab Emirates",97143538777,Google Places
Culture of the Sea Museum,Museum,Dubai,77CR+4PX Culture of the Sea Museum - Al Shindagha Tunnel - Dubai - United Arab Emirates,Unknown,Google Places
Al Shindagha Museum - Dubai Creek: Birth of a City,Museum,Dubai,Al Shindagha Museum - Dubai Creek: Birth of a City - 288 - Dubai - United Arab Emirates,Unknown,Google Places
Perfect Wood,Museum,Dubai,Perfect Wood - Al Qusais Industrial Area - Al Qusais Industrial Area 4 - Dubai - United Arab Emirates,971564046449,Google Places
Ajman Museum,"Museum, Tourist attraction",Ajman,CC7W+96Q Ajman Museum - Al Bustan - ليوارة 1 - Ajman - United Arab Emirates,97167116688,Google Places
Al Shindagha Museum - Drop-Off point B,Museum,Dubai,Al Shindagha Museum - Drop-Off point B - 323 - Dubai - United Arab Emirates,Unknown,Google Places
Sharjah Art Foundation - Al Mureijah Art Spaces - Al Mureijah Square,Museum,Sharjah,Sharjah Art Foundation - Al Mureijah Art Spaces - Al Mureijah Square - Corniche St - Al Mareija - Sharjah - United Arab Emirates,97165481381,Google Places
Bayt Al Khanyar Museum & Coffee Shop,"Museum, Coffee shop",Dubai,Bayt Al Khanyar Museum & Coffee Shop - Villa 42 Al Fahidi St - Al Fahidi - Dubai - United Arab Emirates,97142862222,Google Places
قلعة,Historical place museum,Dubai,قلعة - 8 44a St - Al Fahidi - Dubai - United Arab Emirates,Unknown,Google Places
دار الترميم - ادارة التراث العمراني و الاثار بلدية دبي,Museum,Dubai,"77FV+65H دار الترميم - ادارة التراث العمراني و الاثار بلدية دبي, Near Dubai Creek - Deira - Dubai - United Arab Emirates",97143539090,Google Places
Museum of the Poet Al Oqaili,"Museum, Tourist attraction",Dubai,Museum of the Poet Al Oqaili - Sikka 26A - Deira - Al Ras - Dubai - United Arab Emirates,97180033222,Google Places
Saruq Al-Hadid Archaeological Museum,"Museum, Tourist attraction",Dubai,778Q+PVV Saruq Al-Hadid Archaeological Museum - Al Fahidi - Dubai - United Arab Emirates,97143595612,Google Places
Museum of The Future,"Museum, Exhibit, Parking garage, Restaurant, Souvenir store, Valet parking service",Dubai,67CP+H4Q Museum of The Future - Sheikh Zayed Rd - Trade Centre - Trade Centre 2 - Dubai - United Arab Emirates,9718002071,Google Places
Traditional Emirati House,Museum,Dubai,Traditional Emirati House - 33 Al Fahidi St - Al Fahidi - Dubai - United Arab Emirates,971563948111,Google Places
Arabian Heritage Center,Museum,Sharjah,7FVF+VH6 Arabian Heritage Center - University City - Sharjah - United Arab Emirates,Unknown,Google Places
Al Shindagha Museum Drop-Off point C,Museum,Dubai,"Al Shindagha Museum Drop-Off point C, Historical Site - Al Shindagha - Dubai - United Arab Emirates",971522858365,Google Places
Archeological Exploration Findings,Archaeological museum,Sharjah,Archeological Exploration Findings - Al Shiokh - Sharjah - United Arab Emirates,Unknown,Google Places
Sharjah Calligraphy Museum,"Art museum, Tourist attraction",Sharjah,"Sharjah Calligraphy Museum, Heart of، Calligraphy Square - Al Shiokh - Sharjah - United Arab Emirates",97165694561,Google Places
Al dalal handicrafts store,Handicraft museum,Sharjah,Al dalal handicrafts store - Al Majaz 1 - Al Majaz - Sharjah - United Arab Emirates,971506773592,Google Places
Sharjah Art Foundation - Collections Building,Museum,Sharjah,Sharjah Art Foundation - Collections Building - Al Shuwaiheen - Sharjah - United Arab Emirates,97165685050,Google Places
House of Calligraphy,Museum,Dubai,7872+X4C House of Calligraphy - Al Esbij St - Al Fahidi - Dubai - United Arab Emirates,Unknown,Google Places
Alrahoomi Palace,Museum,Dubai,6CR5+C8G Alrahoomi Palace - Muhaisnah - Muhaisnah 1 - Dubai - United Arab Emirates,Unknown,Google Places
House of Sheikh Saeed Al Maktoum,"Museum, Tourist attraction",Dubai,779R+72F House of Sheikh Saeed Al Maktoum - Al Fahidi - Dubai - United Arab Emirates,Unknown,Google Places
متحف الصقور,"Museum, Tourist attraction",Dubai,572R+VHR متحف الصقور - Nad Al Sheba 1 - Dubai - United Arab Emirates,97143272854,Google Places
itlog,Museum,Dubai,itlog - 25 SS2750 - 17th St - Dubai - United Arab Emirates,Unknown,Google Places
Gevora Automobile Museum,Museum,Dubai,Gevora Automobile Museum - 101 Sheikh Zayed Rd - Trade Centre - DIFC - Dubai - United Arab Emirates,Unknown,Google Places
Alrashid boxes and plastic products,Museum,Dubai,Alrashid boxes and plastic products - No. 1 - 1 Haleb St - Al Nahdha - Dubai - United Arab Emirates,97142350909,Google Places
People and Faith Museum,Museum,Dubai,People and Faith Museum - 323 - Dubai - United Arab Emirates,97180033222,Google Places
Martyrs Square Hall 1,Museum,Sharjah,7FJ6+F2Q Martyrs Square Hall 1 - Sheikh Khalifa Bin Zayed Al Nahyan Rd - University City - Sharjah - United Arab Emirates,Unknown,Google Places
Jameel Arts Centre,"Museum, Art center, Art museum, Artist, Library, Tourist attraction",Dubai,Jameel Arts Centre - Jaddaf Waterfront - Dubai - United Arab Emirates,97148739800,Google Places
Restoration House,Museum,Dubai,Restoration House - 18 - 18 Al Fahidi St - Al Fahidi - Dubai - United Arab Emirates,Unknown,Google Places
Bait Al Naboodah,"Museum, Tourist attraction",Sharjah,Bait Al Naboodah - Sharjah - United Arab Emirates,97165681738,Google Places
Dubai Museum,Museum,Dubai,"Dubai Museum, Al Fahidi Fort - Al Fahidi - Dubai - United Arab Emirates",97180033222,Google Places
Police,Museum,Sharjah,89RV+2X9 Police - near Sharjah Immigration - Bu Shaghara - Sharjah - United Arab Emirates,Unknown,Google Places
متحف موقع جميرا الاثري Jumeirah Archaeological Site visitors center,Archaeological museum,Dubai,متحف موقع جميرا الاثري Jumeirah Archaeological Site visitors center - 3 Street 33 - Jumeirah - JumeirahJumeirah 2 - Dubai - United Arab Emirates,97143427038,Google Places
Marjan Islamic Art Gallery- Dubai,Art museum,Dubai,Marjan Islamic Art Gallery- Dubai - 23 شارع -١٠-ب - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,97143986867,Google Places
ARTE MUSEUM DUBAI,"Art museum, Museum, Tourist attraction",Dubai,"ARTE MUSEUM DUBAI, Dubai Mall - Level 2 Financial Center Rd - opposite Galeries Lafayette - Downtown Dubai - Dubai - United Arab Emirates",97145707084,Google Places
Musallah Roundabout,Museum,Dubai,7872+553 Musallah Roundabout - Al Souq Al Kabeer - Dubai - United Arab Emirates,Unknown,Google Places
Sharjah Classic Cars Museum,"Museum, Tourist attraction",Sharjah,Sharjah Classic Cars Museum - Airport Rd، between the 4 th and 5th intersections، next to Sharjah International Airport - Sharjah - United Arab Emirates,97165580222,Google Places
