business_name,category,city,address,phone,source
The National Museum of Malaysia,"National museum, History museum, Museum, Tourist attraction",Kuala Lumpur,"The National Museum of Malaysia, Jabatan Muzium Malaysia, Jln Damansara, Perdana Botanical Gardens, 50566 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",60322671111,Google Maps
Pitt Rivers Museum,Museum,Oxford,"Pitt Rivers Museum, S Parks Rd, Oxford OX1 3PP, United Kingdom",4.42E+11,Google Maps
The Metropolitan Museum of Art,"Art museum, Arts organization, Museum, Non-profit organization, Tourist attraction",New York,"The Metropolitan Museum of Art, 1000 5th Ave, New York, NY 10028",12125357710,Google Maps
National Army Museum,"Army museum, Archive, Library, Tourist attraction",London,"National Army Museum, Royal Hospital Rd, London SW3 4HT, United Kingdom",4.42E+11,Google Maps
Drents Museum,"Museum, Archaeological museum, Art museum, History museum, Tourist attraction",Assen,"Drents Museum, Brink 1, 9400 AC Assen, Netherlands",31592377773,Google Maps
The Box,"Museum, Archive, Art gallery, Art museum, Restaurant, Store",Plymouth,"The Box, Tavistock Pl, Plymouth PL4 8AX, United Kingdom",4.42E+11,Google Maps
Hurghada Museum,Museum,Hurghada 1,"Hurghada Museum, El-Nasr, Hurghada 1, Red Sea Governorate 84511, Egypt",,Google Maps
BMW Museum,"Technology museum, Museum, Tourist attraction",Munich,"BMW Museum, Am Olympiapark 2, 80809 München, Germany",4.99E+12,Google Maps
Wellcome Collection,"Museum, Art gallery, Cafe, Library",London,"Wellcome Collection, 183 Euston Rd., London NW1 2BE, United Kingdom",4.42E+11,Google Maps
The Museum of Modern Art,"Modern art museum, Art gallery, Art museum, Museum, Tourist attraction",New York,"The Museum of Modern Art, 11 W 53rd St, New York, NY 10019",12127089400,Google Maps
House of the History of the Federal Republic of Germany,"Museum, Tourist attraction",Bonn,"House of the History of the Federal Republic of Germany, Willy-Brandt-Allee 14, 53113 Bonn, Germany",4922891650,Google Maps
German Museum of Technology,"Technology museum, Tourist attraction",Berlin,"German Museum of Technology, Trebbiner Str. 9, 10963 Berlin, Germany",4930902540,Google Maps
The Strong National Museum of Play,"Children's museum, History museum, Tourist attraction",Rochester,"The Strong National Museum of Play, 1 Manhattan Square Dr, Rochester, NY 14607",15852632700,Google Maps
Eureka! The National Children's Museum,"Children's museum, Museum, National museum, Tourist attraction",Halifax,"Eureka! The National Children's Museum, Discovery Rd, Halifax HX1 2NE, United Kingdom",4.41E+11,Google Maps
Heard Museum,"Art museum, Art gallery, Book store, Event venue, Gift shop, Tourist attraction",Phoenix,"Heard Museum, 2301 N Central Ave, Phoenix, AZ 85004",16022528840,Google Maps
The Museum of Flight,"Museum, Museum of space history, Tourist attraction",Seattle,"The Museum of Flight, Seattle, WA 98108",12067645700,Google Maps
ANU Museum of the Jewish People,"Heritage museum, Art museum, Museum, Tourist attraction",Tel Aviv-Yafo,"ANU Museum of the Jewish People, Klausner St 15, Tel Aviv-Yafo, 6139202, Israel",97235008080,Google Maps
Hong Kong Palace Museum,"Heritage museum, Art museum, Museum",Tsim Sha Tsui,"Hong Kong Palace Museum, 8 Museum Drive West Kowloon, Tsim Sha Tsui, Hong Kong",85222000217,Google Maps
Milwaukee Art Museum,"Art museum, Art gallery, Museum, Tourist attraction",Milwaukee,"Milwaukee Art Museum, 700 N Art Museum Dr, Milwaukee, WI 53202",14142243200,Google Maps
Crystal Bridges Museum of American Art,"Art museum, Event venue, Nature preserve, Restaurant, Store, Tourist attraction, Wedding venue",Bentonville,"Crystal Bridges Museum of American Art, 600 Museum Way, Bentonville, AR 72712",14794185700,Google Maps
Minneapolis Institute of Art,"Art museum, Art center, Museum, Tourist attraction",Minneapolis,"Minneapolis Institute of Art, 2400 3rd Ave S, Minneapolis, MN 55404",18886422787,Google Maps
Hedon Museum,Museum,Hull,"Hedon Museum, 5 St Augustines Ct, Hedon, Hull HU12 8EP, United Kingdom",4.41E+11,Google Maps
National Museum of Antiquities,"Archaeological museum, History museum, Tourist attraction",Leiden,"National Museum of Antiquities, Rapenburg 28, 2311 EW Leiden, Netherlands",31715163163,Google Maps
Toledo Museum of Art,"Art museum, Art gallery, Gift shop, Museum, Tourist attraction",Toledo,"Toledo Museum of Art, 2445 Monroe St, Toledo, OH 43620",14192558000,Google Maps
Kunstmuseum Den Haag,"Art museum, Modern art museum, Museum, Tourist attraction",The Hague,"Kunstmuseum Den Haag, Stadhouderslaan 41, 2517 HV Den Haag, Netherlands",31703381111,Google Maps
Irish Museum of Modern Art,"Modern art museum, Art museum, Tourist attraction",Dublin 8,"Irish Museum of Modern Art, Royal Hospital Kilmainham, Military Rd, Kilmainham, Dublin 8, D08 FW31, Ireland",35316129900,Google Maps
American Museum & Gardens,"Museum, Art museum, Cafe, Event venue, Heritage museum, History museum, Wedding venue",Bath,"American Museum & Gardens, Claverton Manor, Claverton Down, Bath BA2 7BD, United Kingdom",4.41E+11,Google Maps
North Carolina Museum of Art,"Art museum, Art gallery, Live music venue, Museum, Park, Tourist attraction, Wedding venue",Raleigh,"North Carolina Museum of Art, 2110 Blue Ridge Rd, Raleigh, NC 27607",19198396262,Google Maps
The Getty,"Art museum, Modern art museum, Museum, Non-profit organization, Tourist attraction",Los Angeles,"The Getty, 1200 Getty Center Dr, Los Angeles, CA 90049",13104407300,Google Maps
Young V&A,"Children's museum, Museum, Tourist attraction",London,"Young V&A, Cambridge Heath Rd, Bethnal Green, London E2 9PA, United Kingdom",4.42E+11,Google Maps
George Eastman Museum,"Art museum, Historical landmark, Modern art museum, Movie theater, Tourist attraction",Rochester,"George Eastman Museum, 900 East Ave, Rochester, NY 14607",15853274800,Google Maps
Swedish History Museum,"History museum, Tourist attraction",Stockholm,"Swedish History Museum, Narvavägen 13-17, 114 84 Stockholm, Sweden",46851955600,Google Maps
The Broad,"Modern art museum, Art gallery, Art museum, Arts organization, Museum, Tourist attraction",Los Angeles,"The Broad, 221 S Grand Ave, Los Angeles, CA 90012",12132326200,Google Maps
National Museum of the US Air Force,"Museum, Tourist attraction",Dayton,"National Museum of the US Air Force, 1100 Spaatz St, Dayton, OH 45433",19372553286,Google Maps
Steven F. Udvar-Hazy Center,"Museum, Museum of space history, Tourist attraction",Chantilly,"Steven F. Udvar-Hazy Center, 14390 Air and Space Museum Pkwy, Chantilly, VA 20151",17035724118,Google Maps
Overloon War Museum,"War museum, Tourist attraction",Overloon,"Overloon War Museum, Museumpark 1, 5825 AM Overloon, Netherlands",31478641250,Google Maps
Baltimore Museum of Art,Art museum,Baltimore,"Baltimore Museum of Art, 10 Art Museum Dr, Baltimore, MD 21218",14435731700,Google Maps
The Railway Museum,"Rail museum, History museum, Museum, Tourist attraction",Utrecht,"The Railway Museum, Maliebaanstation 16, 3581 XW Utrecht, Netherlands",31302306206,Google Maps
Carnegie Museum of Art,"Art museum, Tourist attraction",Pittsburgh,"Carnegie Museum of Art, 4400 Forbes Ave, Pittsburgh, PA 15213",14126223131,Google Maps
Stavanger City Museum,"Museum, Tourist attraction",Stavanger,"Stavanger City Museum, Muségata 16, 4010 Stavanger, Norway",4751842700,Google Maps
Museum of Natural History,"Natural history museum, Museum, Tourist attraction",Halifax,"Museum of Natural History, 1747 Summer St, Halifax, NS B3H 3A6, Canada",19024247353,Google Maps
Isabella Stewart Gardner Museum,"Art museum, Museum, Tourist attraction",Boston,"Isabella Stewart Gardner Museum, 25 Evans Way, Boston, MA 02115",16175661401,Google Maps
MSU Museum,Museum,East Lansing,"MSU Museum, 409 W Circle Dr, East Lansing, MI 48823",15173552370,Google Maps
de Young Museum,"Art museum, Tourist attraction",San Francisco,"de Young Museum, 50 Hagiwara Tea Garden Dr, San Francisco, CA 94118",14157503600,Google Maps
California Science Center,"Science museum, Gift shop, IMAX theater, Tourist attraction",Los Angeles,"California Science Center, 700 Exposition Park Dr, Los Angeles, CA 90037",13237243623,Google Maps
Chrysler Museum of Art,Art museum,Norfolk,"Chrysler Museum of Art, 1 Memorial Pl, Norfolk, VA 23510",17576646200,Google Maps
National Science and Technology Museum,"Museum, Science museum, Tourist attraction",Sanmin District,"National Science and Technology Museum, No. 720號, Jiuru 1st Rd, Sanmin District, Kaohsiung City, Taiwan 807",88673800089,Google Maps
High Museum of Art,"Art museum, Education center, Modern art museum, Painting, Sculpture, Sculpture museum, Tourist attraction",Atlanta,"High Museum of Art, 1280 Peachtree St NE, Atlanta, GA 30309",14047334400,Google Maps
The Wilson Art Gallery and Museum and The Wilson Kitchen arts café,"Museum, Art cafe, Cafe, Childrens club, Art gallery, Tourist attraction",Cheltenham,"The Wilson Art Gallery and Museum and The Wilson Kitchen arts café, 51 Clarence St, Cheltenham GL50 3JT, United Kingdom",4.41E+11,Google Maps
McCord Stewart Museum,"Museum, Exhibit, History museum, Local history museum, Tourist attraction",Montreal,"McCord Stewart Museum, 690 Sherbrooke St W, Montreal, Quebec H3A 1E9, Canada",15148616701,Google Maps
Manchester Art Gallery,"Museum, Art museum, Art gallery, Tourist attraction",Manchester,"Manchester Art Gallery, Mosley St, Manchester M2 3JL, United Kingdom",4.42E+11,Google Maps
MORE Museum,"Museum, Art museum, Arts organization, Modern art museum, Tourist attraction",Gorssel,"MORE Museum, Hoofdstraat 28, 7213 CW Gorssel, Netherlands",,Google Maps
The Andy Warhol Museum,"Modern art museum, Art museum, Museum, Tourist attraction",Pittsburgh,"The Andy Warhol Museum, 117 Sandusky St, Pittsburgh, PA 15212",14122378300,Google Maps
Phoenix Art Museum,"Art museum, Gift shop, Modern art museum, Restaurant, Tourist attraction",Phoenix,"Phoenix Art Museum, 1625 N Central Ave, Phoenix, AZ 85004",16022571880,Google Maps
Saint Louis Art Museum,"Art museum, Art gallery, Museum, Non-profit organization, Tourist attraction",St. Louis,"Saint Louis Art Museum, 1 Fine Arts Dr, St. Louis, MO 63110",13147210072,Google Maps
National Building Museum,"Museum, Cultural center, Historical landmark, National museum, Tourist attraction",Washington,"National Building Museum, 401 F St NW, Washington, DC 20001",12022722448,Google Maps
Museum of Glass,"Art museum, Tourist attraction",Tacoma,"Museum of Glass, 1801 Dock St, Tacoma, WA 98402",12532844750,Google Maps
Waltham Museum,"Museum, Tourist attraction",Waltham,"Waltham Museum, 25 Lexington St, Waltham, MA 02452",17818939020,Google Maps
Arizona-Sonora Desert Museum,"Natural history museum, Aquarium, Art museum, Botanical garden, Tourist attraction, Zoo",Tucson,"Arizona-Sonora Desert Museum, 2021 N Kinney Rd, Tucson, AZ 85743",15208832702,Google Maps
Museum of the Moving Image,"Museum, Arts organization, Event venue, Movie theater, Tourist attraction",Queens,"Museum of the Moving Image, 36-01 35th Ave, Queens, NY 11106",17187776800,Google Maps
Memorial Art Gallery,"Art museum, Tourist attraction",Rochester,"Memorial Art Gallery, 500 University Ave, Rochester, NY 14607",15852768900,Google Maps
National Roman Museum - Palazzo Massimo,"Archaeological museum, History museum, Museum, Tourist attraction",Rome,"National Roman Museum - Palazzo Massimo, Largo di Villa Peretti, 2, 00185 Roma RM, Italy",3906480201,Google Maps
THEMUSEUM,"Museum, Tourist attraction",Kitchener,"THEMUSEUM, 10 King St W, Kitchener, ON N2G 1A3, Canada",15197499387,Google Maps
Randall Museum,"Science museum, Art museum, Children's museum, Tourist attraction",San Francisco,"Randall Museum, 199 Museum Way, San Francisco, CA 94114",14155549600,Google Maps
The National Museum in Warsaw,"Art museum, Museum, Tourist attraction",Warsaw,"The National Museum in Warsaw, al. Jerozolimskie 3, 00-495 Warszawa, Poland",48226211031,Google Maps
Bishop Museum,"Museum, Tourist attraction",Honolulu,"Bishop Museum, 1525 Bernice St, Honolulu, HI 96817",18088473511,Google Maps
Kimbell Art Museum,"Art museum, Auditorium, Cafe, Gift shop, Tourist attraction",Fort Worth,"Kimbell Art Museum, 3333 Camp Bowie Blvd, Fort Worth, TX 76107",18173328451,Google Maps
Longmont Museum,"Local history museum, Auditorium, Cultural center, Tourist attraction",Longmont,"Longmont Museum, 400 Quail Rd, Longmont, CO 80501",13036518374,Google Maps
Rubin Museum of Art,"Art museum, Cafe, Performing arts theater, Store",New York,"Rubin Museum of Art, 150 W 17th St, New York, NY 10011",12126205000,Google Maps
Canada Aviation and Space Museum,"Museum, Tourist attraction",Ottawa,"Canada Aviation and Space Museum, 11 Aviation Pkwy, Ottawa, ON K1K 2X5, Canada",16139913044,Google Maps
Museum of Fine Arts,"Art museum, Museum",Budapest,"Budapest, Museum of Fine Arts, Dózsa György út 41, 1146 Hungary",3614697100,Google Maps
Museum De Lakenhal,"Art museum, Museum, Tourist attraction",Leiden,"Museum De Lakenhal, Oude Singel 32, 2312 RA Leiden, Netherlands",31715165360,Google Maps
Tower of David,"History museum, Tourist attraction",Jerusalem,"Tower of David, Jerusalem",97226265333,Google Maps
The John and Mable Ringling Museum of Art,"Art museum, Garden, Historical place museum, History museum, Performing arts theater, Tourist attraction",Sarasota,"The John and Mable Ringling Museum of Art, 5401 Bay Shore Rd, Sarasota, FL 34243",19413595700,Google Maps
Smithsonian's National Postal Museum,"Museum, Historical landmark, History museum, National museum, Tourist attraction",Washington,"Smithsonian's National Postal Museum, 2 Massachusetts Ave NE, Washington, DC 20002",12026335555,Google Maps
Museum London,"Museum, Art museum, History museum, Tourist attraction",London,"Museum London, 421 Ridout St N, London, ON N6A 5H4, Canada",15196610333,Google Maps
Hirshhorn Museum,"Art museum, Modern art museum, Museum, Sculpture museum, Tourist attraction",Washington,"Hirshhorn Museum, Independence Ave SW &, 7th St SW, Washington, DC 20560",12026331000,Google Maps
National Museum of Art,"Art museum, Tourist attraction",Bucharest,"National Museum of Art, Calea Victoriei 49-53, București 010063, Romania",40213133030,Google Maps
The Morgan Library & Museum,"Museum, Art museum, Library, Tourist attraction",New York,"The Morgan Library & Museum, 225 Madison Ave, New York, NY 10016",12126850008,Google Maps
Sandy Museum,"Museum, Tourist attraction",Sandy,"Sandy Museum, 8744 S Center St, Sandy, UT 84070",18015660878,Google Maps
Museum of Anthropology at UBC,"Heritage museum, Art museum, Museum, Tourist attraction",Vancouver,"Museum of Anthropology at UBC, 6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",16048275932,Google Maps
Dubai police Museum - متحف شرطة دبي,Museum,Dubai,79H4+H4J Dubai police Museum - متحف شرطة دبي - Al Twar - Al Twar 1 - Dubai - United Arab Emirates,97146999832,Google Maps
,,,,,
Museum Of Illusions,"Museum, Tourist attraction",Dubai,7873+RP9 Museum Of Illusions - Al Seef - Dubai Creek - Dubai - Al Seef St - Al Hamriya - Dubai - United Arab Emirates,97143573999,Google Maps
